Canal,Departamento,AFILIADOS,BUSCA PPC,COMPARADORES,Mês/Ano,CAT
3P,CLIMATIZAÇÃO,-0.004759269375072057,-0.020304343588031862,-0.0041879728963958255,8/2021,-0.029251585859499746
3P,ELETROPORTÁTEIS,-0.007144850581778658,-0.04742287717393537,-0.0045505101472795234,8/2021,-0.05911823790299355
3P,INFORMÁTICA E ACESSÓRIOS,-0.007848530119262655,-0.05594506348423423,-0.003796569041881103,8/2021,-0.067590162645378
3P,UTILIDADES DOMÉSTICAS,-0.006829748129459524,-0.04474273352312326,-0.0019890843242913628,8/2021,-0.05356156597687414
3P,AUTOMOTIVO,-0.004701948390149954,-0.05652438914918159,-0.0020317438320244328,8/2021,-0.06325808137135598
3P,CONSOLES & GAMES,-0.013617064802123002,-0.035702390120897765,-0.004625917356961153,8/2021,-0.053945372279981925
3P,ESPORTE & LAZER,-0.004359826908611074,-0.02723171721505956,-0.0016710982943855212,8/2021,-0.033262642418056154
3P,PC GAMER,-0.011338309400650564,-0.05072870327372458,-0.0036567808917323725,8/2021,-0.06572379356610751
3P,BELEZA & PERFUMARIA,-0.003705105628471915,-0.027192524377934114,-0.0006351593056497376,8/2021,-0.03153278931205576
3P,MÓVEIS,-0.0033979906219085694,-0.023686871597128328,-0.0006933834881990272,8/2021,-0.027778245707235926
3P,INSTRUMENTOS MUSICAIS,-0.003801125155114084,-0.03233359104123595,-0.0016059322436793178,8/2021,-0.03774064844002935
3P,MERCADO,-0.009220498494898652,-0.032889341029333406,-0.0010377282237933982,8/2021,-0.04314756774802545
3P,TELEFONIA,-0.003953078373815198,-0.013717555779906873,-0.0014177569668862777,9/2021,-0.01908839112060835
3P,ELETRODOMÉSTICOS,-0.007200810935326299,-0.032656177182499406,-0.005479888189567757,9/2021,-0.04533687630739346
3P,ELETRÔNICOS,-0.01117244317021906,-0.03788792016477705,-0.004909583603295111,9/2021,-0.05396994693829122
3P,PCS,-0.008251823691127175,-0.012991131803717419,-0.0021882693156846547,9/2021,-0.02343122481052925
3P,CLIMATIZAÇÃO,-0.005466331132755028,-0.02073244258071022,-0.0031433473421031803,9/2021,-0.029342121055568427
3P,ELETROPORTÁTEIS,-0.008788456610483723,-0.045843704025186595,-0.003539869149664182,9/2021,-0.058172029785334506
3P,INFORMÁTICA E ACESSÓRIOS,-0.010010081354490037,-0.049637227826115994,-0.0031989789780818827,9/2021,-0.06284628815868791
3P,UTILIDADES DOMÉSTICAS,-0.006486220089787824,-0.04616026429694369,-0.0017708147165049727,9/2021,-0.05441729910323649
3P,AUTOMOTIVO,-0.006087861508802598,-0.05403158804233402,-0.001654097311694419,9/2021,-0.061773546862831034
3P,CONSOLES & GAMES,-0.02334314751040262,-0.023101142257559368,-0.002019424429297366,9/2021,-0.04846371419725935
3P,ESPORTE & LAZER,-0.005989049483340473,-0.026128819191561528,-0.0013785213214164154,9/2021,-0.03349638999631842
3P,PC GAMER,-0.014662175008083794,-0.04114649770369731,-0.0026711700648457165,9/2021,-0.05847984277662683
3P,BELEZA & PERFUMARIA,-0.003502228526491959,-0.02613615981084974,-0.00046537478302008725,9/2021,-0.030103763120361785
3P,MÓVEIS,-0.003714350777025512,-0.023307647805660168,-0.0006189550335759385,9/2021,-0.027640953616261617
3P,INSTRUMENTOS MUSICAIS,-0.003445129399995075,-0.03425717217978339,-0.0012328373326526492,9/2021,-0.03893513891243112
3P,MERCADO,-0.011831929244356646,-0.02782688682359047,-0.000743889391945279,9/2021,-0.04040270545989239
3P,TELEFONIA,-0.005439242631122699,-0.01496262724129534,-0.001180611015405299,10/2021,-0.02158248088782334
3P,ELETRODOMÉSTICOS,-0.007767562997851167,-0.03673849262539971,-0.004928902118890665,10/2021,-0.049434957742141544
3P,ELETRÔNICOS,-0.01494860104776078,-0.03682179949990778,-0.004765958336422699,10/2021,-0.05653635888409125
3P,PCS,-0.009095619308413329,-0.01684248487976637,-0.0014725740718093544,10/2021,-0.027410678259989052
3P,CLIMATIZAÇÃO,-0.0059503261775974165,-0.021243845796346528,-0.0024428455545546105,10/2021,-0.029637017528498552
3P,ELETROPORTÁTEIS,-0.007913238535251239,-0.05397718231411582,-0.003049053353063463,10/2021,-0.06493947420243053
3P,INFORMÁTICA E ACESSÓRIOS,-0.009752236213694507,-0.06119414060869798,-0.003077216940485018,10/2021,-0.07402359376287751
3P,UTILIDADES DOMÉSTICAS,-0.007402144662945778,-0.05136908204577587,-0.0014673592952690116,10/2021,-0.060238586003990666
3P,AUTOMOTIVO,-0.006779315422954847,-0.06377435959046876,-0.0015789994058601285,10/2021,-0.07213267441928374
3P,CONSOLES & GAMES,-0.015099354421775112,-0.03050745755536165,-0.0017881099256522794,10/2021,-0.047394921902789044
3P,ESPORTE & LAZER,-0.005255768992225765,-0.030730646642233867,-0.0013639778360017294,10/2021,-0.03735039347046136
3P,PC GAMER,-0.018803182026219313,-0.04840175393701328,-0.0028059965147298705,10/2021,-0.07001093247796247
3P,BELEZA & PERFUMARIA,-0.006879895284219021,-0.027980433903947922,-0.0003971008246192963,10/2021,-0.03525743001278624
3P,MÓVEIS,-0.003992671715446756,-0.026209112287913946,-0.0006009947101731024,10/2021,-0.030802778713533804
3P,INSTRUMENTOS MUSICAIS,-0.0045548193850635,-0.03655293716385875,-0.001048393603376757,10/2021,-0.04215615015229901
3P,MERCADO,-0.020343665457117927,-0.0290502561357006,-0.0005652737914463928,10/2021,-0.049959195384264916
3P,TELEFONIA,-0.004790807441569606,-0.0174407735302803,-0.001310097664932623,11/2021,-0.023541678636782526
3P,ELETRODOMÉSTICOS,-0.007848961637620699,-0.03759606351743002,-0.004072640769724664,11/2021,-0.049517665924775384
3P,ELETRÔNICOS,-0.012965340810878022,-0.037292044348945314,-0.0033893002392087874,11/2021,-0.053646685399032126
3P,PCS,-0.00873072974775683,-0.016723385020483705,-0.0015867024297610429,11/2021,-0.027040817198001575
3P,CLIMATIZAÇÃO,-0.005242220717422597,-0.025787705325224057,-0.0022979274326280397,11/2021,-0.03332785347527469
3P,ELETROPORTÁTEIS,-0.008470972148035208,-0.05397696435470918,-0.003343733899425033,11/2021,-0.06579167040216942
