Canal,Marca,Origem Tráfego,MDP,Parcelamento,Receita,Pedidos,Mês/Ano,Custo Parcelamento,Volume Venda
3P,ACOM,COMPARADORES,PIX,A VISTA,13303.788364030634,73.315395342,1/2022,0.0,975372.5034552054
3P,SUBA,BUSCA PPC,CARTAO,A PRAZO,224025.3399819118,1385.38490652,4/2020,1120.126699909559,310361324.6889521
1P,ACOM,BUSCA ORGANICA,BOLETO,A VISTA,559.83820986054,6.437511756,6/2021,0.0,3603.9650574352218
1P,SHOP,BUSCA ORGANICA,PIX,A VISTA,6420.960349779602,315.72836172000007,4/2021,0.0,2027279.2919049924
3P,SUBA,BUSCA PPC,CARTAO,A VISTA,138750.8149029333,1278.077636304,4/2020,0.0,177334313.54639482
1P,SUBA,TRAFEGO DIRETO,BOLETO,A VISTA,883.6657792457402,12.472933743000002,7/2020,0.0,11021.904715488585
1P,ACOM,COMPARADORES,BOLETO,A VISTA,1924.6098367236,14.848952352,8/2020,0.0,28578.43976169924
3P,ACOM,BUSCA PPC,CARTAO,A VISTA,1401144.0697549,10787.165131905,5/2021,0.0,15114372454.035522
3P,ACOM,BUSCA PPC,CARTAO,A VISTA,791016.1329876303,8199.730232120999,1/2020,0.0,6486118899.754117
3P,SHOP,AFILIADOS,AME,A VISTA,226287.70584562884,1013.0793962370002,7/2020,0.0,229247412.4139456
3P,ACOM,COMPARADORES,AME,A VISTA,28233.570031238614,175.547416623,1/2021,0.0,4956330.281028493
3P,ACOM,COMPARADORES,AME,A VISTA,49788.27737958985,293.266808952,8/2020,0.0,14601249.230329355
3P,SHOP,TRAFEGO DIRETO,CARTAO,A VISTA,14522.1692459088,133.66588368,3/2022,0.0,1941118.5852049189
3P,SUBA,BUSCA ORGANICA,CARTAO,A PRAZO,30480.87377595793,166.108063632,4/2022,152.40436887978964,5063118.92073578
1P,B2B,TRAFEGO DIRETO,CARTAO,A VISTA,81.21692329392,2.6524142160000004,10/2021,0.0,215.420921924575
1P,SHOP,BUSCA PPC,CARTAO,A VISTA,6016.14460899699,53.369875314000005,7/2021,0.0,321080.8876531627
1P,ACOM,AFILIADOS,CARTAO,A PRAZO,129986.97595068272,1625.7616343520003,10/2020,649.9348797534136,211327838.46605608
1P,ACOM,BUSCA ORGANICA,BOLETO,A VISTA,20032.493793438,147.918409968,11/2020,0.0,2963174.629619177
3P,SHOP,COMPARADORES,AME,A VISTA,6057.590009894641,24.980010144,2/2020,0.0,151318.6598953612
3P,ACOM,COMPARADORES,CARTAO,A VISTA,49889.92481923968,189.627789456,4/2022,0.0,9460516.159598451
1P,SUBA,AFILIADOS,AME,A VISTA,1574.3764447928102,21.375840318,5/2021,0.0,33653.61948431165
3P,ACOM,TRAFEGO DIRETO,CARTAO,A VISTA,1020358.388115576,8119.506649008002,2/2021,0.0,8284806716.675508
1P,SUBA,AFILIADOS,PIX,A VISTA,800.05287356064,8.819897184,4/2022,0.0,7056.384086568597
1P,ACOM,AFILIADOS,CARTAO,A VISTA,74913.5487656796,1525.8555612270002,7/2020,0.0,114307254.9953623
1P,ACOM,AFILIADOS,CARTAO,A PRAZO,18513.8294364359,228.22814934,1/2020,92.56914718217948,4225377.029474179
3P,SUBA,AFILIADOS,AME,A VISTA,235139.52841002485,1225.03856904,3/2020,0.0,288054991.4081573
3P,ACOM,BUSCA PPC,CARTAO,A PRAZO,1637440.5498785488,9429.335383818,2/2021,8187.202749392744,15439976115.868204
3P,SHOP,AFILIADOS,BOLETO,A VISTA,6306.559974391651,56.493292269,5/2021,0.0,356278.33584528463
3P,SUBA,COMPARADORES,AME,A VISTA,21736.7461394601,107.726293746,2/2020,0.0,2341619.0997017105
3P,ACOM,COMPARADORES,CARTAO,A PRAZO,243137.37341577985,1483.082570448,4/2020,1215.686867078899,360592800.73744994
3P,SUBA,BUSCA PPC,AME,A VISTA,43859.85000345724,210.704711706,5/2021,0.0,9241477.05044686
