Departamento,Canal,Marca,Origem Tráfego,Visita,Mês/Ano
PCS,3P,SOUB,BUSCA ORGANICA,916.3128469739999,12/2020
PCS,1P,B2B,BUSCA ORGANICA,1732.2651292519997,1/2022
PCS,3P,SHOP,TRAFEGO DIRETO,21657.84091836,3/2021
PCS,3P,SHOP,AFILIADOS,7037.812155329999,12/2020
PCS,1P,SUBA,AFILIADOS,54606.042547193996,5/2020
PCS,3P,SHOP,BUSCA ORGANICA,12927.723058691998,6/2021
PCS,1P,ACOM,COMPARADORES,66032.45876934,11/2021
PCS,3P,SOUB,AFILIADOS,63.841460074,1/2022
PCS,3P,SUBA,TRAFEGO DIRETO,50562.047649083994,10/2021
PCS,1P,ACOM,COMPARADORES,75628.72873794,11/2020
PCS,1P,SUBA,TRAFEGO DIRETO,57008.2168152,3/2022
PCS,3P,SUBA,TRAFEGO DIRETO,49993.81812626699,1/2021
PCS,1P,SOUB,AFILIADOS,679.5128977559999,12/2020
PCS,1P,B2B,AFILIADOS,50.985398315999994,10/2021
PCS,3P,SHOP,TRAFEGO DIRETO,21558.308505717,5/2021
PCS,1P,SUBA,COMPARADORES,6183.236539829999,12/2021
PCS,1P,ACOM,AFILIADOS,51757.31926261201,9/2021
PCS,1P,B2B,AFILIADOS,20.426264628,2/2022
PCS,1P,SUBA,BUSCA PPC,37743.365901524994,12/2021
PCS,1P,SUBA,BUSCA PPC,154400.77057939197,2/2021
PCS,1P,ACOM,AFILIADOS,58258.93486843199,2/2021
PCS,1P,SOUB,AFILIADOS,1618.9041433319999,11/2020
PCS,1P,ACOM,COMPARADORES,48527.440871052,8/2021
PCS,3P,SOUB,TRAFEGO DIRETO,856.76191731,6/2020
PCS,3P,B2B,BUSCA PPC,2268.131242944,1/2022
PCS,3P,SUBA,AFILIADOS,52613.86881464,3/2022
PCS,1P,SOUB,BUSCA ORGANICA,1775.4047774669998,12/2021
PCS,3P,B2B,TRAFEGO DIRETO,2481.482894016,4/2022
PCS,3P,ACOM,BUSCA PPC,804862.520559552,8/2020
PCS,3P,SOUB,BUSCA ORGANICA,109.84261220399999,8/2020
PCS,1P,SUBA,BUSCA PPC,61922.169476333984,1/2021
PCS,3P,ACOM,AFILIADOS,96594.683017872,8/2021
PCS,3P,SOUB,BUSCA PPC,722.86260424,3/2022
PCS,1P,SUBA,TRAFEGO DIRETO,49363.75802058599,5/2021
PCS,3P,SOUB,TRAFEGO DIRETO,534.358047706,1/2022
PCS,3P,SHOP,BUSCA PPC,36772.35492828,3/2021
PCS,3P,SUBA,AFILIADOS,34002.014837472,4/2020
PCS,3P,SOUB,COMPARADORES,1.878396354,9/2020
PCS,1P,B2B,TRAFEGO DIRETO,2394.4027211489997,12/2021
PCS,3P,B2B,COMPARADORES,10.159602432,4/2022
PCS,1P,SUBA,TRAFEGO DIRETO,31800.734612174994,1/2021
PCS,3P,SHOP,COMPARADORES,14288.481596143998,2/2022
PCS,3P,SHOP,TRAFEGO DIRETO,43521.23081018699,6/2020
PCS,3P,SHOP,COMPARADORES,9077.769826865999,6/2021
PCS,3P,SOUB,TRAFEGO DIRETO,3174.8534017200004,4/2021
